scenario,message_size,invocation_rate,invocation_index,end_to_end_latency_ms,publisher_processing_latency_ms
Large Message (0.1 rps),large,0.1_rps,85,489.52299999999997,9.762
Large Message (0.1 rps),large,0.1_rps,86,484.358,9.149
Large Message (0.1 rps),large,0.1_rps,87,501.305,9.225999999999999
Large Message (0.1 rps),large,0.1_rps,88,505.281,9.409
Large Message (0.1 rps),large,0.1_rps,89,477.34,9.045
Large Message (0.1 rps),large,0.1_rps,90,572.233,9.084
Large Message (0.1 rps),large,0.1_rps,91,576.697,8.446
Large Message (0.1 rps),large,0.1_rps,92,488.75,9.732
Large Message (0.1 rps),large,0.1_rps,93,499.395,9.181999999999999
Large Message (0.1 rps),large,0.1_rps,94,555.012,8.836
Large Message (0.1 rps),large,0.1_rps,95,486.858,9.221
Large Message (0.1 rps),large,0.1_rps,96,484.99199999999996,8.847000000000001
Large Message (0.1 rps),large,0.1_rps,97,475.54400000000004,8.429
Large Message (0.1 rps),large,0.1_rps,98,541.106,11.606
Large Message (0.1 rps),large,0.1_rps,99,476.252,8.687000000000001
Large Message (0.1 rps),large,0.1_rps,100,530.31,8.139000000000001
Large Message (0.1 rps),large,0.1_rps,101,500.18700000000007,9.106
Large Message (0.1 rps),large,0.1_rps,102,486.068,9.201
Large Message (0.1 rps),large,0.1_rps,103,558.176,10.203999999999999
Large Message (0.1 rps),large,0.1_rps,104,582.9929999999999,9.802999999999999
Large Message (0.1 rps),large,0.1_rps,105,559.601,9.216999999999999
Large Message (0.1 rps),large,0.1_rps,106,491.182,8.755
Large Message (0.1 rps),large,0.1_rps,107,493.329,9.703
Large Message (0.1 rps),large,0.1_rps,108,491.402,8.843
Large Message (0.1 rps),large,0.1_rps,109,494.00300000000004,8.005999999999998
Large Message (0.1 rps),large,0.1_rps,110,516.232,9.026
Large Message (0.1 rps),large,0.1_rps,111,506.03900000000004,8.952
Large Message (0.1 rps),large,0.1_rps,112,562.2629999999999,9.331000000000001
Large Message (0.1 rps),large,0.1_rps,113,489.53000000000003,12.875
Large Message (0.1 rps),large,0.1_rps,114,558.554,8.352
Large Message (0.1 rps),large,0.1_rps,115,547.0509999999999,8.847000000000001
Large Message (0.1 rps),large,0.1_rps,116,491.887,8.654
Large Message (0.1 rps),large,0.1_rps,117,488.185,9.299999999999999
Large Message (0.1 rps),large,0.1_rps,118,561.195,8.944
Large Message (0.1 rps),large,0.1_rps,119,624.084,12.671999999999999
Large Message (0.1 rps),large,0.1_rps,120,631.225,9.104
Large Message (0.1 rps),large,0.1_rps,121,547.2230000000001,8.26
Large Message (0.1 rps),large,0.1_rps,122,508.63000000000005,9.149
Large Message (0.1 rps),large,0.1_rps,123,538.289,9.492
Large Message (0.1 rps),large,0.1_rps,124,7852.76,9.221
Large Message (0.1 rps),large,0.1_rps,125,492.665,9.327
Large Message (0.1 rps),large,0.1_rps,126,493.46000000000004,9.821
Large Message (0.1 rps),large,0.1_rps,127,574.182,8.206
