scenario,message_size,invocation_rate,invocation_index,end_to_end_latency_ms,publisher_processing_latency_ms
Large Message (0.1 rps),large,0.1_rps,95,72.199,
Large Message (0.1 rps),large,0.1_rps,96,78.987,
Large Message (0.1 rps),large,0.1_rps,97,73.213,
Large Message (0.1 rps),large,0.1_rps,98,85.07199999999999,
Large Message (0.1 rps),large,0.1_rps,99,62.522999999999996,
Large Message (0.1 rps),large,0.1_rps,100,69.49900000000001,
Large Message (0.1 rps),large,0.1_rps,101,97.73,
Large Message (0.1 rps),large,0.1_rps,102,106.548,
Large Message (0.1 rps),large,0.1_rps,103,107.086,
Large Message (0.1 rps),large,0.1_rps,104,88.431,
Large Message (0.1 rps),large,0.1_rps,105,101.87100000000001,
Large Message (0.1 rps),large,0.1_rps,106,81.30199999999999,
Large Message (0.1 rps),large,0.1_rps,107,89.357,
Large Message (0.1 rps),large,0.1_rps,108,99.975,
Large Message (0.1 rps),large,0.1_rps,109,91.742,
Large Message (0.1 rps),large,0.1_rps,110,82.383,
Large Message (0.1 rps),large,0.1_rps,111,71.874,
Large Message (0.1 rps),large,0.1_rps,112,56.855999999999995,
Large Message (0.1 rps),large,0.1_rps,113,64.97500000000001,
Large Message (0.1 rps),large,0.1_rps,114,55.119,
Large Message (0.1 rps),large,0.1_rps,115,69.785,
Large Message (0.1 rps),large,0.1_rps,116,77.269,
Large Message (0.1 rps),large,0.1_rps,117,73.294,
Large Message (0.1 rps),large,0.1_rps,118,77.833,
Large Message (0.1 rps),large,0.1_rps,119,57.482,
Large Message (0.1 rps),large,0.1_rps,120,85.145,
Large Message (0.1 rps),large,0.1_rps,121,74.994,
Large Message (0.1 rps),large,0.1_rps,122,66.05199999999999,
Large Message (0.1 rps),large,0.1_rps,123,63.781000000000006,
Large Message (0.1 rps),large,0.1_rps,124,79.30199999999999,
Large Message (0.1 rps),large,0.1_rps,125,68.878,
Large Message (0.1 rps),large,0.1_rps,126,75.475,
Large Message (0.1 rps),large,0.1_rps,127,101.618,
Large Message (0.1 rps),large,0.1_rps,128,101.465,
Large Message (0.1 rps),large,0.1_rps,129,95.889,
Large Message (0.1 rps),large,0.1_rps,130,110.86699999999999,
Large Message (0.1 rps),large,0.1_rps,131,113.83500000000001,
Large Message (0.1 rps),large,0.1_rps,132,84.946,
Large Message (0.1 rps),large,0.1_rps,133,73.43900000000001,
Large Message (0.1 rps),large,0.1_rps,134,86.78,
Large Message (0.1 rps),large,0.1_rps,135,81.96499999999999,
Large Message (0.1 rps),large,0.1_rps,136,80.14,
Large Message (0.1 rps),large,0.1_rps,137,86.763,
Large Message (0.1 rps),large,0.1_rps,138,107.632,
Large Message (0.1 rps),large,0.1_rps,139,71.005,
Large Message (0.1 rps),large,0.1_rps,140,53.821,
Large Message (0.1 rps),large,0.1_rps,141,61.287,
Large Message (0.1 rps),large,0.1_rps,142,81.19500000000001,
Large Message (0.1 rps),large,0.1_rps,143,76.149,
Large Message (0.1 rps),large,0.1_rps,144,62.964000000000006,
Large Message (0.1 rps),large,0.1_rps,145,98.952,
Large Message (0.1 rps),large,0.1_rps,146,86.338,
Large Message (0.1 rps),large,0.1_rps,147,55.184999999999995,
Large Message (0.1 rps),large,0.1_rps,148,64.205,
Large Message (0.1 rps),large,0.1_rps,149,75.25999999999999,
Large Message (0.1 rps),large,0.1_rps,150,56.567,
Large Message (0.1 rps),large,0.1_rps,151,70.712,
Large Message (0.1 rps),large,0.1_rps,152,65.933,
Large Message (0.1 rps),large,0.1_rps,153,83.685,
Large Message (0.1 rps),large,0.1_rps,154,79.679,
Large Message (0.1 rps),large,0.1_rps,155,69.52,
Large Message (0.1 rps),large,0.1_rps,156,80.211,
Large Message (0.1 rps),large,0.1_rps,157,67.83200000000001,
Large Message (0.1 rps),large,0.1_rps,158,96.22,
Large Message (0.1 rps),large,0.1_rps,159,68.43,
Large Message (0.1 rps),large,0.1_rps,160,67.532,
Large Message (0.1 rps),large,0.1_rps,161,91.13799999999999,
Large Message (0.1 rps),large,0.1_rps,162,69.68900000000001,
Large Message (0.1 rps),large,0.1_rps,163,77.771,
Large Message (0.1 rps),large,0.1_rps,164,331.63399999999996,
Large Message (0.1 rps),large,0.1_rps,165,72.657,
