scenario,message_size,invocation_rate,invocation_index,end_to_end_latency_ms,publisher_processing_latency_ms
Large Message (0.1 rps),large,0.1_rps,95,96.622,
Large Message (0.1 rps),large,0.1_rps,96,92.98299999999999,
Large Message (0.1 rps),large,0.1_rps,97,134.939,
Large Message (0.1 rps),large,0.1_rps,98,77.434,
Large Message (0.1 rps),large,0.1_rps,99,106.036,
Large Message (0.1 rps),large,0.1_rps,100,86.228,
Large Message (0.1 rps),large,0.1_rps,101,141.034,
Large Message (0.1 rps),large,0.1_rps,102,95.614,
Large Message (0.1 rps),large,0.1_rps,103,100.273,
Large Message (0.1 rps),large,0.1_rps,104,93.88199999999999,
Large Message (0.1 rps),large,0.1_rps,105,104.017,
Large Message (0.1 rps),large,0.1_rps,106,72.791,
Large Message (0.1 rps),large,0.1_rps,107,99.314,
Large Message (0.1 rps),large,0.1_rps,108,87.771,
Large Message (0.1 rps),large,0.1_rps,109,92.747,
Large Message (0.1 rps),large,0.1_rps,110,76.601,
Large Message (0.1 rps),large,0.1_rps,111,86.472,
Large Message (0.1 rps),large,0.1_rps,112,68.26,
Large Message (0.1 rps),large,0.1_rps,113,95.903,
Large Message (0.1 rps),large,0.1_rps,114,78.629,
Large Message (0.1 rps),large,0.1_rps,115,82.787,
Large Message (0.1 rps),large,0.1_rps,116,88.452,
Large Message (0.1 rps),large,0.1_rps,117,97.815,
Large Message (0.1 rps),large,0.1_rps,118,61.797,
Large Message (0.1 rps),large,0.1_rps,119,127.21099999999998,
Large Message (0.1 rps),large,0.1_rps,120,92.315,
Large Message (0.1 rps),large,0.1_rps,121,101.926,
Large Message (0.1 rps),large,0.1_rps,122,125.417,
Large Message (0.1 rps),large,0.1_rps,123,120.269,
Large Message (0.1 rps),large,0.1_rps,124,84.51400000000001,
Large Message (0.1 rps),large,0.1_rps,125,85.12599999999999,
Large Message (0.1 rps),large,0.1_rps,126,90.269,
Large Message (0.1 rps),large,0.1_rps,127,97.096,
Large Message (0.1 rps),large,0.1_rps,128,61.268,
Large Message (0.1 rps),large,0.1_rps,129,92.92,
Large Message (0.1 rps),large,0.1_rps,130,73.086,
Large Message (0.1 rps),large,0.1_rps,131,89.232,
Large Message (0.1 rps),large,0.1_rps,132,92.809,
Large Message (0.1 rps),large,0.1_rps,133,119.286,
Large Message (0.1 rps),large,0.1_rps,134,97.197,
Large Message (0.1 rps),large,0.1_rps,135,66.891,
Large Message (0.1 rps),large,0.1_rps,136,123.272,
Large Message (0.1 rps),large,0.1_rps,137,93.663,
Large Message (0.1 rps),large,0.1_rps,138,91.526,
Large Message (0.1 rps),large,0.1_rps,139,77.581,
Large Message (0.1 rps),large,0.1_rps,140,69.298,
Large Message (0.1 rps),large,0.1_rps,141,100.258,
Large Message (0.1 rps),large,0.1_rps,142,87.748,
Large Message (0.1 rps),large,0.1_rps,143,586.3040000000001,
Large Message (0.1 rps),large,0.1_rps,144,68.336,
Large Message (0.1 rps),large,0.1_rps,145,132.42399999999998,
Large Message (0.1 rps),large,0.1_rps,146,75.767,
Large Message (0.1 rps),large,0.1_rps,147,86.59400000000001,
Large Message (0.1 rps),large,0.1_rps,148,83.896,
Large Message (0.1 rps),large,0.1_rps,149,124.571,
Large Message (0.1 rps),large,0.1_rps,150,91.14,
Large Message (0.1 rps),large,0.1_rps,151,109.089,
Large Message (0.1 rps),large,0.1_rps,152,71.69,
Large Message (0.1 rps),large,0.1_rps,153,99.34700000000001,
Large Message (0.1 rps),large,0.1_rps,154,98.79599999999999,
Large Message (0.1 rps),large,0.1_rps,155,99.52999999999999,
Large Message (0.1 rps),large,0.1_rps,156,79.22999999999999,
Large Message (0.1 rps),large,0.1_rps,157,102.978,
Large Message (0.1 rps),large,0.1_rps,158,98.60900000000001,
Large Message (0.1 rps),large,0.1_rps,159,91.82,
Large Message (0.1 rps),large,0.1_rps,160,84.059,
Large Message (0.1 rps),large,0.1_rps,161,97.084,
Large Message (0.1 rps),large,0.1_rps,162,81.04400000000001,
Large Message (0.1 rps),large,0.1_rps,163,94.44500000000001,
Large Message (0.1 rps),large,0.1_rps,164,73.931,
Large Message (0.1 rps),large,0.1_rps,165,102.25099999999999,
Large Message (0.1 rps),large,0.1_rps,166,86.565,
Large Message (0.1 rps),large,0.1_rps,167,86.61099999999999,
Large Message (0.1 rps),large,0.1_rps,168,71.467,
Large Message (0.1 rps),large,0.1_rps,169,87.992,
Large Message (0.1 rps),large,0.1_rps,170,79.80900000000001,
Large Message (0.1 rps),large,0.1_rps,171,102.73100000000001,
Large Message (0.1 rps),large,0.1_rps,172,83.11399999999999,
Large Message (0.1 rps),large,0.1_rps,173,97.64200000000001,
Large Message (0.1 rps),large,0.1_rps,174,79.501,
Large Message (0.1 rps),large,0.1_rps,175,108.61500000000001,
Large Message (0.1 rps),large,0.1_rps,176,108.101,
Large Message (0.1 rps),large,0.1_rps,177,120.26599999999999,
Large Message (0.1 rps),large,0.1_rps,178,90.532,
Large Message (0.1 rps),large,0.1_rps,179,100.365,
Large Message (0.1 rps),large,0.1_rps,180,93.445,
Large Message (0.1 rps),large,0.1_rps,181,107.286,
Large Message (0.1 rps),large,0.1_rps,182,93.97800000000001,
Large Message (0.1 rps),large,0.1_rps,183,98.625,
Large Message (0.1 rps),large,0.1_rps,184,69.37400000000001,
Large Message (0.1 rps),large,0.1_rps,185,138.61599999999999,
Large Message (0.1 rps),large,0.1_rps,186,207.814,
Large Message (0.1 rps),large,0.1_rps,187,96.398,
Large Message (0.1 rps),large,0.1_rps,188,64.50999999999999,
Large Message (0.1 rps),large,0.1_rps,189,78.21799999999999,
Large Message (0.1 rps),large,0.1_rps,190,86.177,
Large Message (0.1 rps),large,0.1_rps,191,93.491,
Large Message (0.1 rps),large,0.1_rps,192,68.581,
Large Message (0.1 rps),large,0.1_rps,193,83.74900000000001,
Large Message (0.1 rps),large,0.1_rps,194,98.61,
Large Message (0.1 rps),large,0.1_rps,195,89.211,
Large Message (0.1 rps),large,0.1_rps,196,111.155,
Large Message (0.1 rps),large,0.1_rps,197,104.104,
Large Message (0.1 rps),large,0.1_rps,198,85.544,
Large Message (0.1 rps),large,0.1_rps,199,108.722,
Large Message (0.1 rps),large,0.1_rps,200,79.788,
Large Message (0.1 rps),large,0.1_rps,201,105.32,
Large Message (0.1 rps),large,0.1_rps,202,105.74300000000001,
Large Message (0.1 rps),large,0.1_rps,203,93.675,
Large Message (0.1 rps),large,0.1_rps,204,101.632,
Large Message (0.1 rps),large,0.1_rps,205,106.495,
Large Message (0.1 rps),large,0.1_rps,206,78.86500000000001,
