scenario,message_size,invocation_rate,invocation_index,end_to_end_latency_ms,publisher_processing_latency_ms
Large Message (0.1 rps),large,0.1_rps,84,613.179,64.228
Large Message (0.1 rps),large,0.1_rps,85,517.55,66.148
Large Message (0.1 rps),large,0.1_rps,86,579.825,77.83800000000001
Large Message (0.1 rps),large,0.1_rps,87,676.643,110.329
Large Message (0.1 rps),large,0.1_rps,88,542.1890000000001,92.113
Large Message (0.1 rps),large,0.1_rps,89,533.654,70.198
Large Message (0.1 rps),large,0.1_rps,90,634.91,70.409
Large Message (0.1 rps),large,0.1_rps,91,532.9770000000001,83.04
Large Message (0.1 rps),large,0.1_rps,92,616.7550000000001,83.44500000000001
Large Message (0.1 rps),large,0.1_rps,93,615.331,67.498
Large Message (0.1 rps),large,0.1_rps,94,554.833,70.80799999999999
Large Message (0.1 rps),large,0.1_rps,95,532.86,67.843
Large Message (0.1 rps),large,0.1_rps,96,620.255,74.161
Large Message (0.1 rps),large,0.1_rps,97,538.2909999999999,87.5
Large Message (0.1 rps),large,0.1_rps,98,496.133,61.882
Large Message (0.1 rps),large,0.1_rps,99,553.6419999999999,67.48400000000001
Large Message (0.1 rps),large,0.1_rps,100,549.791,57.921
Large Message (0.1 rps),large,0.1_rps,101,523.218,66.709
Large Message (0.1 rps),large,0.1_rps,102,622.5939999999999,68.25399999999999
Large Message (0.1 rps),large,0.1_rps,103,605.764,74.509
Large Message (0.1 rps),large,0.1_rps,104,610.623,84.851
Large Message (0.1 rps),large,0.1_rps,105,611.928,65.687
Large Message (0.1 rps),large,0.1_rps,106,645.7310000000001,73.212
Large Message (0.1 rps),large,0.1_rps,107,580.548,64.861
Large Message (0.1 rps),large,0.1_rps,108,583.6320000000001,72.387
Large Message (0.1 rps),large,0.1_rps,109,574.462,70.61
Large Message (0.1 rps),large,0.1_rps,110,598.716,90.987
Large Message (0.1 rps),large,0.1_rps,111,596.64,81.122
Large Message (0.1 rps),large,0.1_rps,112,523.773,66.58500000000001
Large Message (0.1 rps),large,0.1_rps,113,615.95,72.375
Large Message (0.1 rps),large,0.1_rps,114,600.238,74.884
Large Message (0.1 rps),large,0.1_rps,115,657.173,88.006
Large Message (0.1 rps),large,0.1_rps,116,563.057,66.53699999999999
Large Message (0.1 rps),large,0.1_rps,117,625.593,71.38
Large Message (0.1 rps),large,0.1_rps,118,606.322,93.758
Large Message (0.1 rps),large,0.1_rps,119,607.874,78.72800000000001
Large Message (0.1 rps),large,0.1_rps,120,573.2420000000001,80.46499999999999
Large Message (0.1 rps),large,0.1_rps,121,620.009,93.942
Large Message (0.1 rps),large,0.1_rps,122,611.946,59.48
Large Message (0.1 rps),large,0.1_rps,123,575.3779999999999,69.43199999999999
Large Message (0.1 rps),large,0.1_rps,124,595.544,77.07600000000001
Large Message (0.1 rps),large,0.1_rps,125,536.107,74.181
Large Message (0.1 rps),large,0.1_rps,126,532.9159999999999,73.07600000000001
Large Message (0.1 rps),large,0.1_rps,127,516.6429999999999,63.75599999999999
Large Message (0.1 rps),large,0.1_rps,128,545.933,78.084
Large Message (0.1 rps),large,0.1_rps,129,643.047,84.605
Large Message (0.1 rps),large,0.1_rps,130,586.371,76.281
Large Message (0.1 rps),large,0.1_rps,131,626.3199999999999,73.987
Large Message (0.1 rps),large,0.1_rps,132,576.258,61.815000000000005
Large Message (0.1 rps),large,0.1_rps,133,540.164,71.133
Large Message (0.1 rps),large,0.1_rps,134,622.641,69.57900000000001
Large Message (0.1 rps),large,0.1_rps,135,570.239,89.071
Large Message (0.1 rps),large,0.1_rps,136,239.488,78.368
Large Message (0.1 rps),large,0.1_rps,137,589.36,77.2
Large Message (0.1 rps),large,0.1_rps,138,584.842,65.72999999999999
Large Message (0.1 rps),large,0.1_rps,139,541.3299999999999,79.023
Large Message (0.1 rps),large,0.1_rps,140,588.1840000000001,70.033
Large Message (0.1 rps),large,0.1_rps,141,627.161,87.34100000000001
Large Message (0.1 rps),large,0.1_rps,142,584.215,68.438
Large Message (0.1 rps),large,0.1_rps,143,602.038,73.35
Large Message (0.1 rps),large,0.1_rps,144,588.549,71.039
Large Message (0.1 rps),large,0.1_rps,145,1156.144,76.917
Large Message (0.1 rps),large,0.1_rps,146,516.2710000000001,62.364000000000004
Large Message (0.1 rps),large,0.1_rps,147,578.098,60.541
Large Message (0.1 rps),large,0.1_rps,148,572.905,73.80000000000001
Large Message (0.1 rps),large,0.1_rps,149,536.2059999999999,70.236
Large Message (0.1 rps),large,0.1_rps,150,665.149,66.402
Large Message (0.1 rps),large,0.1_rps,151,610.583,64.339
Large Message (0.1 rps),large,0.1_rps,152,576.27,59.644999999999996
Large Message (0.1 rps),large,0.1_rps,153,505.52299999999997,63.669000000000004
Large Message (0.1 rps),large,0.1_rps,154,560.506,76.297
Large Message (0.1 rps),large,0.1_rps,155,603.7320000000001,78.753
Large Message (0.1 rps),large,0.1_rps,156,583.102,74.626
Large Message (0.1 rps),large,0.1_rps,157,688.967,67.44699999999999
Large Message (0.1 rps),large,0.1_rps,158,662.727,66.82000000000001
Large Message (0.1 rps),large,0.1_rps,159,622.174,89.649
Large Message (0.1 rps),large,0.1_rps,160,642.871,93.891
Large Message (0.1 rps),large,0.1_rps,161,573.933,110.719
Large Message (0.1 rps),large,0.1_rps,162,655.06,68.14099999999999
Large Message (0.1 rps),large,0.1_rps,163,593.859,76.958
