mechanism,region_pair,message_size_bytes,rate_rps,end_to_end_latency_ms,vcpu,memory_mb,source
pubsub,us-east1->us-east1,1048576,0.1,128.802,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,87.63799999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,96.018,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,83.84400000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,102.907,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,90.737,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,102.348,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,72.083,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,119.389,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,72.434,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,133.419,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,71.161,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,262.996,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,103.616,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,114.415,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,81.587,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,121.05799999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,83.643,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,97.635,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,92.349,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,96.878,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,76.717,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,186.73600000000002,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,90.81500000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,94.806,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,81.705,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,93.12299999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,106.09,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,108.71799999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,78.833,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,120.46,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,79.57300000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,95.791,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,78.461,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,94.96499999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,106.237,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,98.064,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,72.92999999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,84.965,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,60.937,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,91.981,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,78.167,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,90.923,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,82.82100000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,80.508,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,96.40700000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,96.622,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,92.98299999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,134.939,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,77.434,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,106.036,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,86.228,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,141.034,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,95.614,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,100.273,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,93.88199999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,104.017,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,72.791,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,99.314,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,87.771,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,92.747,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,76.601,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,86.472,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,68.26,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,95.903,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,78.629,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,82.787,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,88.452,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,97.815,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,61.797,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,127.21099999999998,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,92.315,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,101.926,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,125.417,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,120.269,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,84.51400000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,85.12599999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
